OBJECTID,AREA_NAME,HOOD_ID,POPN_PROJ_2022,ASSAULT_2014,ASSAULT_2015,ASSAULT_2016,ASSAULT_2017,ASSAULT_2018,ASSAULT_2019,ASSAULT_2020,ASSAULT_2021,ASSAULT_2022,ASSAULT_RATE_2014,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,ASSAULT_RATE_2020,ASSAULT_RATE_2021,ASSAULT_RATE_2022,AUTOTHEFT_2014,AUTOTHEFT_2015,AUTOTHEFT_2016,AUTOTHEFT_2017,AUTOTHEFT_2018,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_RATE_2014,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,AUTOTHEFT_RATE_2020,AUTOTHEFT_RATE_2021,AUTOTHEFT_RATE_2022,BIKETHEFT_2014,BIKETHEFT_2015,BIKETHEFT_2016,BIKETHEFT_2017,BIKETHEFT_2018,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_RATE_2014,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BIKETHEFT_RATE_2020,BIKETHEFT_RATE_2021,BIKETHEFT_RATE_2022,BREAKENTER_2014,BREAKENTER_2015,BREAKENTER_2016,BREAKENTER_2017,BREAKENTER_2018,BREAKENTER_2019,BREAKENTER_2020,BREAKENTER_2021,BREAKENTER_2022,BREAKENTER_RATE_2014,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,BREAKENTER_RATE_2020,BREAKENTER_RATE_2021,BREAKENTER_RATE_2022,HOMICIDE_2014,HOMICIDE_2015,HOMICIDE_2016,HOMICIDE_2017,HOMICIDE_2018,HOMICIDE_2019,HOMICIDE_2020,HOMICIDE_2021,HOMICIDE_2022,HOMICIDE_RATE_2014,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,HOMICIDE_RATE_2020,HOMICIDE_RATE_2021,HOMICIDE_RATE_2022,ROBBERY_2014,ROBBERY_2015,ROBBERY_2016,ROBBERY_2017,ROBBERY_2018,ROBBERY_2019,ROBBERY_2020,ROBBERY_2021,ROBBERY_2022,ROBBERY_RATE_2014,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,ROBBERY_RATE_2020,ROBBERY_RATE_2021,ROBBERY_RATE_2022,SHOOTING_2014,SHOOTING_2015,SHOOTING_2016,SHOOTING_2017,SHOOTING_2018,SHOOTING_2019,SHOOTING_2020,SHOOTING_2021,SHOOTING_2022,SHOOTING_RATE_2014,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,SHOOTING_RATE_2020,SHOOTING_RATE_2021,SHOOTING_RATE_2022,THEFTFROMMV_2014,THEFTFROMMV_2015,THEFTFROMMV_2016,THEFTFROMMV_2017,THEFTFROMMV_2018,THEFTFROMMV_2019,THEFTFROMMV_2020,THEFTFROMMV_2021,THEFTFROMMV_2022,THEFTFROMMV_RATE_2014,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTFROMMV_RATE_2020,THEFTFROMMV_RATE_2021,THEFTFROMMV_RATE_2022,THEFTOVER_2014,THEFTOVER_2015,THEFTOVER_2016,THEFTOVER_2017,THEFTOVER_2018,THEFTOVER_2019,THEFTOVER_2020,THEFTOVER_2021,THEFTOVER_2022,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,Shape__Area,Shape__Length
1,South Eglinton-Davisville,174,21418,63,61,70,82,85,70,82,121,129,344.9786,332.1355,377.827,429.4543,431.5816,345.8669,396.8446,577.4554,602.2971,5,4,3,9,15,8,15,15,11,27.37926,21.77938,16.19258,47.13523,76.16146,39.52765,72.59352,71.58538,71.58538,17,19,27,34,30,42,94,34,18,93.08948,103.452,145.7333,178.0664,152.3229,207.5201,454.9194,162.2602,162.2602,27,32,25,37,48,83,70,44,26,147.848,174.235,134.9382,193.7782,243.7167,410.0993,338.7698,209.9838,121.3932,0,0,1,0,0,1,1,1,0,0,0,5,0,0,4.940956,4.839568,4.772358,0,12,10,9,7,17,5,16,11,16,65.71022,48.57775,36.66073,86.31632,24.70478,77.43309,52.49594,74.70352,54.44844,1,0,1,0,1,1,1,0,1,5.475852,0,5.397528,0,5.077431,4.940956,4.839568,0,4.66897,18,19,13,17,19,24,43,22,18,98.56533,103.452,70.16786,89.0332,96.47118,118.5829,208.1014,104.9919,84.04146,4,3,4,1,3,3,5,6,3,21.90341,16.33453,21.59011,5.237247,15.23229,14.82287,24.19784,28.63415,14.00691,944309.106445313,4005.55018410219
2,North Toronto,173,14544,45,52,43,52,55,77,72,104,130,386.9636,449.1277,372.0689,429.0075,433.5488,582.0106,525.9697,740.5825,893.8394,4,1,2,2,4,4,11,14,10,34.39677,8.637071,17.30553,16.50029,31.53082,30.23432,80.35649,99.69379,99.69379,5,13,9,13,17,22,50,22,10,42.99596,112.2819,77.87488,107.2519,134.006,166.2887,365.2568,156.6617,156.6617,25,44,15,24,42,36,88,49,46,214.9798,380.0311,129.7915,198.0035,331.0736,272.1089,642.8519,348.9283,316.2816,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7.558579,7.305136,0,0,5,10,7,6,9,19,3,10,11,42.99596,60.56935,49.50087,70.94435,143.613,21.91541,71.20985,75.63256,86.3707,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7.120986,6.875688,18,6,13,13,7,18,24,17,18,154.7854,51.82242,112.4859,107.2519,55.17894,136.0544,175.3233,121.0568,123.7624,2,3,2,3,5,4,6,2,4,17.19838,25.91121,17.30553,24.75043,39.41353,30.23432,43.83081,14.24197,27.50275,402030.80859375,2543.94583535318
3,Dovercourt Village,172,13789,56,57,79,94,94,96,75,101,93,412.007,422.1597,587.4479,693.9318,684.9315,694.344,542.731,734.3318,674.4506,8,10,18,11,11,12,18,8,25,58.85815,74.0631,133.8489,81.20478,80.15156,86.793,130.2554,58.1649,58.1649,26,34,52,45,30,26,28,26,20,191.289,251.8145,386.6746,332.2014,218.5952,188.0515,202.6196,189.0359,189.0359,38,21,37,39,50,83,47,19,33,279.5762,155.5325,275.1339,287.9079,364.3253,600.3182,340.1115,138.1416,239.3212,1,0,0,1,0,2,1,0,0,7.357268982,0,0,7,0,14.4655,7.236413,0,0,24,19,13,38,31,14,15,22,10,176.5745,96.66865,280.5256,225.8817,101.2585,108.5462,159.9535,72.52158,140.7199,0,0,2,0,0,0,0,2,0,0,0,14.8721,0,0,0,0,14.54122,0,40,34,49,42,82,67,67,18,40,294.2908,251.8145,364.3665,310.0546,597.4935,484.5942,484.8397,130.871,290.0863,5,3,5,3,4,3,3,2,4,36.78635,22.21893,37.18025,22.14676,29.14602,21.69825,21.70924,14.54122,29.00863,1503002.17724609,4965.49640387863
4,Junction-Wallace Emerson,171,25777,154,157,166,157,157,182,169,178,139,655.6819,658.64,684.8467,638.5748,627.0219,716.8459,661.9922,696.6459,539.2404,19,17,12,17,29,23,44,35,47,80.89581,71.3177,49.50699,69.14504,115.8193,90.59042,172.353,136.9809,136.9809,40,41,50,62,65,70,54,36,36,170.307,172.0015,206.2791,252.176,259.595,275.71,211.5242,140.8947,140.8947,37,46,41,51,91,103,110,76,56,157.534,192.9773,169.1489,207.4351,363.433,405.6875,430.8825,297.4443,217.2479,1,3,0,1,0,1,0,0,0,4.257674458,13,0,4,0,3.938714,0,0,0,26,30,26,27,18,30,22,11,20,110.6995,107.2652,109.8186,71.88786,118.1614,86.17651,43.05115,77.58855,125.8548,0,2,1,5,3,2,5,3,3,0,8.390318,4.125583,20.33678,11.98131,7.877427,19.58557,11.74122,11.63828,70,26,48,73,153,125,139,52,70,298.0372,109.0741,198.028,296.9169,611.0468,492.3392,544.4788,203.5145,271.5599,5,5,6,6,7,4,9,8,8,21.28837,20.97579,24.7535,24.40413,27.95639,15.75485,35.25402,31.30993,31.03542,2222866.69580078,7435.19245753212
5,Yonge-Bay Corridor,170,14213,394,525,487,603,576,660,383,324,441,3817.829,4798.464,4208.07,4995.444,4575.787,5048.573,2842.934,2350.893,3102.793,12,20,20,14,27,38,14,17,30,116.2791,182.7986,172.816,115.9804,214.49,290.6754,103.9192,123.3493,123.3493,223,156,203,215,267,219,173,169,230,2160.853,1425.829,1754.083,1781.128,2121.068,1675.208,1284.145,1226.237,1226.237,69,115,61,125,100,119,149,112,123,668.6047,1051.092,527.0889,1035.54,794.4073,910.2731,1105.998,812.6542,865.4049,1,2,0,0,1,2,0,1,1,9.689922481,18,0,0,7.944074,15.29871,0,7.255841,7.035812,73,52,74,88,88,63,55,51,55,707.3643,639.4193,729.02,699.0785,481.9093,408.2542,370.0479,386.9697,475.2765,1,3,0,3,4,4,2,0,1,9.689922,27.4198,0,24.85295,31.77629,30.59741,14.84561,0,7.035812,121,103,79,89,113,171,135,64,121,1172.481,941.413,682.6234,737.3043,897.6804,1308.039,1002.078,464.3738,851.3333,37,30,27,35,44,63,35,26,50,358.5271,274.198,233.3017,289.9511,349.5392,481.9093,259.7981,188.6519,351.7906,1118724.53076172,4811.10772577232
6,Bay-Cloverhill,169,18530,105,100,124,154,135,164,101,147,117,749.7858,685.0723,814.4499,971.9767,818.2314,958.6719,573.7007,817.2569,631.4085,6,4,6,7,15,13,9,22,14,42.8449,27.40289,39.40887,44.18076,90.9146,75.99229,51.12184,122.3106,122.3106,78,87,99,99,96,70,59,58,68,556.9837,596.0129,650.2463,624.8422,581.8535,409.1892,335.132,322.4551,322.4551,26,45,58,54,71,82,79,38,43,185.6612,308.2825,380.9524,340.823,430.3291,479.3359,448.7361,211.2637,232.0561,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.84556,0,0,0,11,15,19,20,29,37,19,23,19,78.54899,124.7947,126.2308,175.7682,216.2857,107.9239,127.8701,102.5364,102.7608,0,0,0,0,1,0,0,0,1,0,0,0,0,6.060973,0,0,0,5.396654,36,25,24,15,32,33,35,20,36,257.0694,171.2681,157.6355,94.67307,193.9511,192.9035,198.8072,111.1914,194.2795,16,13,13,14,10,10,7,10,9,114.2531,89.05939,85.38588,88.36153,60.60973,58.4556,39.76143,55.59571,48.56989,690548.701660156,3359.58312047522
7,Bendale-Glen Andrew,156,20495,137,148,172,166,182,204,134,129,167,734.9391,782.4064,894.4358,849.9744,916.5533,1012.156,660.0985,634.6552,814.8329,35,37,42,25,39,35,46,76,80,187.7582,195.6016,218.4087,128.0082,196.4043,173.6542,226.601,373.9053,373.9053,10,7,4,23,2,3,1,4,6,53.64519,37.00571,20.80083,117.7675,10.07201,14.88464,4.926108,19.67923,19.67923,71,33,30,27,33,30,20,19,24,380.8809,174.4555,156.0062,138.2488,166.1882,148.8464,98.52217,93.47633,117.1017,0,0,2,0,0,1,1,0,2,0,0,10,0,0,4.961548,4.926108,0,9.758477,52,55,48,67,44,35,19,49,54,278.955,249.61,343.062,221.5843,173.6542,93.59606,241.0706,263.4789,290.7592,1,1,3,5,1,3,7,5,7,5.364519,5.28653,15.60062,25.60164,5.036007,14.88464,34.48276,24.59904,34.15467,84,64,44,64,53,50,44,41,84,450.6196,338.3379,228.8092,327.701,266.9084,248.0774,216.7488,201.7121,409.856,6,8,8,17,13,8,4,7,13,32.18711,42.29224,41.60167,87.04557,65.46809,39.69238,19.70443,34.43865,63.4301,4913225.27099609,9230.79985729401
8,Downsview,155,16887,114,127,131,137,127,143,128,134,153,722.525,804.9182,828.0134,852.7325,776.3311,861.9131,766.6507,801.3395,906.0224,37,32,38,31,31,69,52,61,122,234.5037,202.814,240.1871,192.9541,189.4981,415.8881,311.4518,364.7889,364.7889,7,4,9,4,10,8,5,6,6,44.36557,25.35176,56.88642,24.8973,61.12843,48.21891,29.94729,35.88087,35.88087,30,33,28,26,42,37,45,28,32,190.1382,209.152,176.98,161.8324,256.7394,223.0125,269.5256,167.4441,189.4949,1,0,0,0,1,2,2,0,0,6.337938902,0,0,0,6.112843,12.05473,11.97892,0,0,30,25,11,15,34,20,7,11,25,190.1382,69.52784,93.36487,207.8367,120.5473,41.92621,65.78161,148.0429,158.4485,4,2,2,5,2,7,3,0,4,25.35176,12.67588,12.64143,31.12162,12.22569,42.19155,17.96838,0,23.68686,58,51,62,51,63,72,76,55,58,367.6005,323.2349,391.8842,317.4406,385.1091,433.9702,455.1989,328.908,343.4595,5,11,3,13,3,7,10,5,15,31.6897,69.71733,18.96214,80.91622,18.33853,42.19155,59.89458,29.90073,88.82572,8282833.33349609,14053.3015191319
9,Oakdale-Beverley Heights,154,21255,221,232,230,278,302,295,235,293,310,1086.689,1144.153,1135.802,1355.04,1450.877,1400.76,1111.742,1388.428,1458.48,66,70,51,53,79,93,103,114,106,324.5316,345.2187,251.8519,258.335,379.534,441.5954,487.2741,540.2076,540.2076,5,8,7,1,7,8,11,9,14,24.58573,39.45357,34.5679,4.874245,33.62959,37.98671,52.03898,42.64796,42.64796,57,43,24,32,44,80,44,63,50,280.2773,212.0629,118.5185,155.9758,211.386,379.867,208.1559,298.5358,235.2388,0,0,1,2,0,1,0,0,2,0,0,5,10,0,4.748338,0,0,9.409551,41,39,36,49,38,41,50,29,39,201.603,177.7778,238.838,182.5607,194.6819,236.5408,137.4212,183.4862,192.3362,4,4,4,6,7,3,5,9,7,19.66858,19.72678,19.75309,29.24547,33.62959,14.24501,23.65408,42.64796,32.93343,75,41,43,62,117,119,158,113,75,368.7859,202.1995,212.3457,302.2032,562.0947,565.0522,747.469,535.4689,352.8582,10,4,8,9,11,7,14,18,19,49.17146,19.72678,39.50617,43.8682,52.8465,33.23837,66.23143,85.29593,89.39073,6685141.23193359,12397.490235482
10,Avondale,153,15800,38,40,43,49,74,46,43,56,38,296.0885,295.421,301.3948,335.8695,495.3809,301.8175,278.2991,360.2676,240.5063,9,4,6,1,8,15,34,34,19,70.12623,29.5421,42.05509,6.854479,53.55469,98.41874,220.0505,218.7339,218.7339,3,8,17,22,6,13,37,20,29,23.37541,59.08419,119.1561,150.7986,40.16602,85.29624,239.4667,128.667,128.667,11,9,7,11,13,13,13,17,8,85.70983,66.46972,49.06427,75.39928,87.02637,85.29624,84.13695,109.367,50.63291,0,0,0,0,11,0,1,0,1,0,0,0,0,73.6377,0,6.472073,0,6.329114,4,4,3,10,11,5,9,8,4,31.16721,21.02755,68.54479,73.6377,32.80625,58.24866,51.4668,25.31646,29.5421,1,0,0,1,0,0,1,0,0,7.791803,0,0,6.854479,0,0,6.472073,0,0,10,7,14,9,9,22,36,27,10,77.91803,51.69867,98.12855,61.69032,60.24903,144.3475,232.9946,173.7005,63.29114,2,1,6,5,5,4,3,5,9,15.58361,7.385524,42.05509,34.2724,33.47168,26.245,19.41622,32.16675,56.96202,1031682.44824219,5253.84814553316
